lottery_type,period_id,n01,n02,n03,n04,n05,n06,n07,n08,n09,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
kl8,2025331,5,6,7,8,14,18,22,23,25,31,40,52,59,63,71,72,73,76,77,79
kl8,2025332,2,5,6,8,10,16,26,27,35,40,48,49,54,56,57,58,61,72,73,79
kl8,2025333,4,9,11,16,19,20,22,24,28,32,33,37,38,41,46,49,66,71,72,74
kl8,2025334,2,3,8,16,18,24,30,32,33,35,36,42,49,54,63,64,72,74,77,78
kl8,2025335,2,5,13,14,16,17,27,34,39,45,48,50,55,57,58,60,74,76,78,79
kl8,2025336,1,6,8,10,11,13,20,26,27,29,41,43,54,55,59,61,62,71,76,80
kl8,2025337,3,6,8,10,16,20,28,32,33,43,46,48,49,53,60,68,69,76,77,78
kl8,2025338,2,3,9,11,14,25,28,29,34,36,38,39,49,50,58,68,69,71,77,78
kl8,2025339,3,6,7,9,14,19,25,26,31,32,35,36,37,38,60,62,66,67,68,75
kl8,2025340,1,9,14,15,16,20,21,24,29,31,40,45,46,47,49,63,65,68,71,74
kl8,2025341,4,8,9,11,15,19,21,23,24,25,26,37,38,43,45,46,52,63,64,74
kl8,2025342,5,6,10,22,25,33,41,42,53,55,58,59,60,63,66,70,71,73,77,80
kl8,2025343,4,11,23,26,29,30,33,35,44,46,49,50,55,56,58,60,62,65,69,80
kl8,2025344,1,4,6,11,12,20,23,26,30,33,37,40,44,50,52,53,67,68,72,73
kl8,2025345,6,10,11,12,14,19,30,32,35,38,39,41,43,45,46,48,61,67,76,79
kl8,2025346,3,6,8,13,14,23,25,26,28,30,33,38,40,41,42,48,51,56,68,69
kl8,2025347,3,10,11,14,17,20,22,28,34,40,45,46,48,51,55,56,67,71,72,73
kl8,2025348,2,19,20,22,24,25,30,33,35,39,41,49,53,54,55,60,63,66,75,80
kl8,2025349,7,8,18,20,22,23,28,40,41,43,45,47,48,51,53,58,64,67,78,80
kl8,2025350,1,5,6,20,24,30,32,33,35,36,37,38,40,52,55,62,64,70,72,76
kl8,2025351,5,12,14,17,19,21,24,25,31,32,39,42,46,49,50,52,57,63,68,72
kl8,2026001,2,5,6,11,24,25,27,32,34,35,39,41,44,51,54,62,70,71,72,75
kl8,2026002,3,8,10,17,22,24,25,28,39,51,61,62,67,69,70,71,72,73,74,80
kl8,2026003,2,7,14,16,22,25,28,31,39,42,47,53,54,55,61,68,69,72,73,78
kl8,2026004,4,5,9,13,16,21,23,24,32,35,37,38,45,50,52,54,55,62,63,64
kl8,2026005,7,8,9,14,18,21,24,26,33,35,41,43,49,54,56,59,60,63,68,76
kl8,2026006,3,5,7,9,19,28,30,32,34,38,49,52,56,61,62,66,73,76,78,79
kl8,2026007,3,13,15,18,20,21,25,32,42,43,45,54,57,62,63,68,72,74,76,80
kl8,2026008,2,4,15,20,21,23,24,34,47,50,51,52,57,58,60,61,66,71,77,79
kl8,2026009,3,4,8,17,18,31,34,37,42,46,47,55,56,61,65,70,74,75,76,80
kl8,2026010,6,7,13,16,19,27,33,37,39,42,43,44,55,59,62,64,65,67,76,80
kl8,2026011,1,3,12,16,22,25,27,30,32,49,52,56,59,61,62,63,66,68,69,79
kl8,2026012,4,11,12,15,16,20,21,26,27,28,30,32,33,41,53,60,62,64,65,76
kl8,2026013,1,5,9,10,11,12,14,15,16,22,28,32,37,41,44,64,72,77,78,80
kl8,2026014,6,12,13,14,18,24,28,29,30,34,38,43,49,52,59,60,64,74,78,80
kl8,2026015,2,8,9,11,14,17,18,19,27,29,31,34,36,41,55,60,64,70,72,79
kl8,2026016,4,19,24,27,28,35,36,38,39,45,50,56,58,59,60,61,64,66,73,78
kl8,2026017,11,15,28,33,36,37,38,46,47,50,51,52,61,62,63,67,68,71,73,80
kl8,2026018,11,12,14,15,18,21,22,23,29,32,33,35,40,41,55,65,69,74,75,78
kl8,2026019,16,20,21,23,24,37,48,51,52,53,54,59,60,62,66,68,75,76,77,78
kl8,2026020,7,13,18,22,24,30,32,33,37,43,47,48,52,62,63,67,69,73,78,79
kl8,2026021,4,5,6,9,10,11,14,19,21,31,34,43,45,48,51,53,56,60,65,70
kl8,2026022,2,9,10,11,15,16,17,18,28,33,35,43,54,55,60,61,63,65,68,73
kl8,2026023,9,13,17,27,28,31,36,39,42,45,50,55,57,61,67,68,73,74,75,79
kl8,2026024,3,8,16,19,22,25,28,35,36,37,49,50,52,54,57,58,64,67,71,73
kl8,2026025,2,3,4,6,8,13,17,20,21,25,26,29,34,40,47,49,51,58,59,69
kl8,2026026,2,6,14,17,21,22,26,34,35,36,48,51,52,58,60,62,71,73,75,76
kl8,2026027,1,4,7,14,18,26,28,37,38,49,51,58,61,62,64,67,71,75,76,79
kl8,2026028,9,11,14,16,17,20,28,30,32,33,46,51,54,57,58,62,66,68,71,74
kl8,2026029,1,4,11,15,19,27,29,31,33,39,43,45,52,58,65,67,69,73,75,77
kl8,2026030,2,8,12,13,14,16,23,31,37,39,44,46,50,54,55,59,61,69,70,73
kl8,2026031,8,10,15,22,25,26,35,42,43,45,47,52,56,57,62,63,72,76,78,80
kl8,2026032,2,4,9,22,24,26,27,28,31,34,36,39,43,44,53,55,59,62,65,70
kl8,2026033,2,3,8,10,16,19,20,21,29,30,33,34,36,48,53,54,55,58,59,76
kl8,2026034,4,6,19,25,26,29,30,31,32,43,44,48,50,62,65,66,68,71,72,80
kl8,2026035,5,7,18,19,23,24,29,32,34,47,48,53,57,62,64,65,70,72,77,80
kl8,2026036,3,11,19,27,32,33,35,38,43,46,49,50,63,64,66,67,74,75,76,77
kl8,2026037,6,7,8,17,24,25,27,28,29,34,40,41,49,53,57,58,60,67,69,72
kl8,2026038,3,4,5,6,7,9,11,20,21,26,36,44,46,47,54,68,73,74,75,80
kl8,2026039,3,5,13,17,22,27,36,38,40,43,49,50,51,61,62,64,68,73,78,80
kl8,2026040,12,13,16,24,31,32,35,37,41,43,48,50,51,55,64,66,68,73,76,79
kl8,2026041,8,12,17,18,23,24,25,26,27,28,30,31,38,41,46,56,66,68,69,79
kl8,2026042,2,8,14,15,16,17,25,34,37,41,47,52,56,60,62,63,72,74,77,79
kl8,2026043,1,6,12,15,16,19,22,23,25,28,32,34,35,36,41,48,56,64,65,77
kl8,2026044,1,3,8,9,13,16,19,23,33,43,47,49,52,53,55,60,68,74,76,79
kl8,2026045,2,3,5,9,11,12,13,18,19,25,35,38,45,57,61,65,68,70,72,76
kl8,2026046,1,10,13,14,15,23,25,26,28,48,49,50,52,54,59,61,64,69,70,79
kl8,2026047,5,14,16,21,22,28,31,34,37,40,50,51,55,62,63,64,74,75,77,80
kl8,2026048,3,4,10,12,16,17,21,25,33,35,41,43,49,50,60,65,69,75,76,80
kl8,2026049,1,6,7,8,11,17,28,35,36,39,41,42,44,48,53,60,61,69,72,75
kl8,2026050,12,14,25,34,39,41,43,45,46,49,51,57,58,60,62,64,65,66,72,74
kl8,2026051,6,7,9,20,21,28,31,32,33,34,36,39,41,47,56,62,67,70,71,77
kl8,2026052,2,6,11,13,19,23,27,29,32,34,40,45,49,51,56,59,66,69,74,80
kl8,2026053,2,3,7,14,20,22,23,25,26,27,28,30,35,36,38,41,44,63,67,68
kl8,2026054,2,8,11,14,15,18,21,23,39,40,42,43,44,51,55,60,65,71,79,80
kl8,2026055,3,4,8,10,12,16,19,22,24,26,31,49,54,55,58,63,64,67,75,79
kl8,2026056,1,8,14,16,25,39,40,48,50,51,56,58,65,67,69,71,73,74,75,79
kl8,2026057,4,8,12,13,17,21,26,27,30,31,35,38,43,50,52,57,60,72,79,80
kl8,2026058,3,5,8,17,19,20,21,27,29,42,47,49,51,53,62,66,69,71,74,80
kl8,2026059,3,10,18,22,24,26,28,30,37,41,46,47,48,51,57,63,69,70,75,76
kl8,2026060,2,3,4,14,15,19,25,28,32,38,39,40,42,45,48,60,61,63,65,67
kl8,2026061,4,5,6,7,13,18,20,21,28,32,34,39,40,42,44,47,50,56,75,76
kl8,2026062,3,4,5,7,14,16,22,27,38,43,46,48,56,58,68,71,73,77,79,80
kl8,2026063,2,4,8,9,14,30,33,35,37,38,40,47,52,59,62,65,73,75,76,79
kl8,2026064,13,16,21,25,31,32,38,45,49,57,58,59,61,63,67,69,72,75,77,78
kl8,2026065,1,2,4,7,9,11,14,16,24,32,34,37,48,49,50,52,53,59,63,70
kl8,2026066,2,3,4,6,8,17,20,27,30,37,41,43,54,56,57,58,60,63,65,69
kl8,2026067,10,11,12,13,14,16,19,23,24,26,39,42,43,50,53,61,62,66,75,80
kl8,2026068,1,4,10,18,19,20,22,31,35,36,44,49,50,52,61,67,68,74,75,78
kl8,2026069,1,5,6,9,15,19,21,25,31,40,47,50,54,56,59,62,65,67,72,80
kl8,2026070,1,3,4,7,11,19,25,27,37,38,42,45,46,48,54,56,69,72,76,77
kl8,2026071,2,3,8,12,13,14,15,21,25,29,42,44,45,46,47,48,52,58,63,66
kl8,2026072,1,5,19,22,28,30,34,37,38,40,41,44,48,50,51,54,59,74,75,80
kl8,2026073,2,3,6,8,9,20,26,27,29,35,52,57,64,67,73,74,75,76,79,80
kl8,2026074,2,5,7,8,11,13,15,16,20,31,32,33,41,43,52,62,70,71,72,73
kl8,2026075,1,4,17,18,21,22,23,24,25,30,41,47,48,50,54,55,56,57,62,78
kl8,2026076,6,10,12,14,16,21,24,38,39,40,46,48,52,58,61,69,71,74,75,77
kl8,2026077,3,6,19,21,24,32,36,37,44,45,51,55,58,61,62,66,71,73,74,75
kl8,2026078,1,6,7,11,15,21,24,27,31,32,34,38,46,49,52,60,67,71,73,74
kl8,2026079,4,10,12,23,38,39,41,44,45,50,51,55,57,60,64,66,68,73,75,76
kl8,2026080,7,11,14,24,25,27,32,33,34,46,49,52,54,56,59,60,61,66,69,72
kl8,2026081,1,2,8,9,11,12,20,32,34,39,42,43,53,54,55,58,59,63,66,77
kl8,2026082,2,5,11,16,23,25,26,29,33,39,57,62,64,68,69,74,76,77,79,80
kl8,2026083,1,2,7,13,14,18,23,27,28,38,41,48,51,54,63,65,68,71,75,78
kl8,2026084,5,8,17,33,34,35,38,42,43,46,49,50,57,59,60,66,71,72,74,80
kl8,2026085,1,3,4,11,13,14,26,31,33,38,40,50,56,58,61,63,65,66,69,79
kl8,2026086,1,3,5,7,11,15,17,24,28,29,34,39,45,47,53,57,63,66,72,79
kl8,2026087,2,5,7,10,14,23,24,32,37,41,42,44,45,46,48,63,64,71,73,76
kl8,2026088,8,9,13,14,18,22,25,33,39,40,44,46,49,55,64,66,68,71,77,80
kl8,2026089,3,12,29,30,31,33,42,45,50,54,56,57,62,63,66,68,71,74,77,80
kl8,2026090,1,4,8,10,20,22,33,35,36,44,49,51,53,59,62,65,69,71,77,78
kl8,2026091,2,5,9,10,12,17,20,21,25,26,28,39,44,51,53,54,57,60,65,67
kl8,2026092,2,3,8,14,17,20,24,30,33,35,38,44,45,56,59,61,67,71,76,77
kl8,2026093,2,16,21,24,26,36,37,38,40,42,45,48,51,53,57,58,59,62,69,80
kl8,2026094,4,7,11,13,18,19,26,31,35,38,42,43,51,53,54,57,59,67,69,74
kl8,2026095,2,4,5,12,20,22,25,26,29,30,31,44,45,48,56,69,70,71,72,73
kl8,2026096,1,4,8,9,10,13,15,17,20,24,26,33,34,35,36,41,44,51,53,60
kl8,2026097,4,5,8,12,14,16,17,35,37,43,46,54,56,58,62,66,68,69,70,74
kl8,2026098,6,7,15,17,18,19,21,23,26,29,34,36,49,52,65,67,69,72,77,80
kl8,2026099,11,13,14,15,18,23,30,34,36,37,39,53,56,58,63,64,70,72,73,80
kl8,2026100,3,5,7,12,15,17,20,29,36,37,38,39,42,48,50,58,64,67,68,77
kl8,2026101,4,6,11,18,21,23,32,38,39,40,45,46,50,52,55,59,61,63,64,67
kl8,2026102,6,9,15,17,21,27,28,33,37,39,40,41,42,46,47,64,70,77,78,79
kl8,2026103,4,6,11,13,15,20,25,27,30,34,35,45,48,52,54,57,60,64,67,80
kl8,2026104,5,18,20,31,35,41,42,44,46,48,49,52,55,57,63,64,70,72,75,79
kl8,2026105,2,6,12,13,14,18,29,31,33,34,35,36,50,67,68,70,71,72,76,77
kl8,2026106,10,11,12,18,27,28,30,32,38,42,46,53,62,65,67,69,71,73,75,76
kl8,2026107,2,8,16,21,24,28,29,34,37,39,44,51,53,54,55,57,66,69,75,79
